"Município";"Quantidade existente"
"210280 Carolina";30
"150120 Baião";30
"430540 Chiapetta";30
"230320 Caririaçu";30
"350050 Águas de Lindóia";30
"292440 Pilão Arcado";30
"210380 Dom Pedro";29
"210440 Gonçalves Dias";29
"290940 Cotegipe";29
"292525 Ponto Novo";29
"220880 Regeneração";29
"230530 Ibiapina";29
"130353 Presidente Figueiredo";29
"130356 Rio Preto da Eva";29
"130410 Tapauá";29
"410320 Bom Sucesso";29
"312810 Guapé";29
"355300 Taguaí";29
"150580 Portel";29
"420780 Irani";29
"292620 Riachão das Neves";29
"410250 Barbosa Ferraz";29
"330475 São Francisco de Itabapoana";29
"330180 Engenheiro Paulo de Frontin";29
"412520 São Jorge d'Oeste";29
"291420 Irajuba";29
"260470 Correntes";29
"291340 Igaporã";29
"291200 Ibiassucê";29
"412730 Terra Rica";29
"291110 Formosa do Rio Preto";29
"291740 Jacaraci";29
"411375 Lunardelli";29
"431250 Mostardas";29
"221030 São Julião";29
"211223 Trizidela do Vale";29
"120045 Senador Guiomard";29
"291820 Jiquiriçá";29
"411690 Nova Esperança";29
"421590 São Bonifácio";29
"260160 Belém do São Francisco";29
"290327 Barrocas";29
"352520 Jarinu";29
"261260 Santa Maria da Boa Vista";29
"500740 Rio Verde de Mato Grosso";29
"231126 Quiterianópolis";29
"292940 São Miguel das Matas";29
"310750 Bom Jardim de Minas";29
"172210 Xambioá";28
"313030 Iguatama";28
"260180 Betânia";28
"291992 Madre de Deus";28
"351690 General Salgado";28
"290395 Bom Jesus da Serra";28
"290250 Baianópolis";28
"210047 Alto Alegre do Pindaré";28
"314670 Palma";28
"412440 Santo Antônio do Sudoeste";28
"210125 Bacabeira";28
"313230 Itaipé";28
"431210 Mata";28
"421810 Timbé do Sul";28
"110149 São Francisco do Guaporé";28
"250830 Lagoa Seca";28
"412070 Quatiguá";28
"314980 Perdizes";28
"260540 Feira Nova";28
"240080 Angicos";28
"250070 São João do Rio do Peixe";28
"230835 Milhã";28
"521530 Orizona";28
"520980 Hidrolina";28
"170230 Arapoema";28
"210905 Porto Rico do Maranhão";28
"292850 Santa Teresinha";28
"150375 Jacareacanga";28
"510263 Campo Novo do Parecis";28
"521720 Piranhas";28
"230650 Itapiúna";28
"250040 Alagoa Nova";28
"353520 Palmeira d'Oeste";28
"211172 Satubinha";28
"411190 Jaguapitã";28
"231040 Paramoti";28
"430064 Ametista do Sul";28
"261290 São Benedito do Sul";28
"293345 Wanderley";28
"500640 Pedro Gomes";28
"270760 Quebrangulo";28
"317170 Virgínia";27
"270850 São Luís do Quitunde";27
"312270 Dom Silvério";27
"510777 Santa Terezinha";27
"211060 São Bernardo";27
"430840 Formigueiro";27
"210840 Peri Mirim";27
"231110 Porteiras";27
"313650 Jordânia";27
"420760 Ipira";27
"260420 Catende";27
"521630 Paranaiguara";27
"210070 Anajatuba";27
"500460 Itaquiraí";27
"292010 Mairi";27
"351930 Ibaté";27
"311050 Camanducaia";27
"351940 Ibirá";27
"500085 Angélica";27
"292490 Planaltino";27
"171660 Peixe";27
"412855 Vera Cruz do Oeste";27
"310450 Arinos";27
"171050 Itacajá";27
"241410 Tenente Ananias";27
"170200 Araguaçu";27
"280120 Canindé de São Francisco";27
"292690 Rio do Pires";27
"420410 Caxambu do Sul";27
"150290 Curuçá";27
"150563 Piçarra";27
"291905 Lajedo do Tabocal";27
"260515 Dormentes";27
"315260 Pouso Alto";27
"260850 Lagoa de Itaenga";27
"230740 Jucás";27
"412370 Santa Isabel do Ivaí";27
"260915 Manari";27
"150619 Rurópolis";27
"411920 Pinhalão";27
"351160 Cesário Lange";27
"292960 Sapeaçu";27
"150460 Mocajuba";27
"130200 Itapiranga";27
"351760 Guapiara";27
"260840 Jurema";27
"291970 Macarani";27
"150430 Maracanã";27
"110060 Cacaulândia";26
"410520 Cerro Azul";26
"310010 Abadia dos Dourados";26
"293120 Taperoá";26
"230625 Itaitinga";26
"251490 São Mamede";26
"261420 Sirinhaém";26
"355010 São Manuel";26
"510628 Novo São Joaquim";26
"521680 Petrolina de Goiás";26
"290115 América Dourada";26
"261020 Panelas";26
"330615 Varre-Sai";26
"290300 Barra do Mendes";26
"420720 Imaruí";26
"312760 Gouveia";26
"261340 São José da Coroa Grande";26
"410330 Borrazópolis";26
"355580 Urânia";26
"520590 Corumbaíba";26
"150280 Curralinho";26
"310270 Cachoeira de Pajeú";26
"130300 Nhamundá";26
"520410 Cachoeira Alta";26
"290990 Curaçá";26
"350740 Borborema";26
"130350 Pauini";26
"510629 Paranaíta";26
"522000 São João d'Aliança";26
"500410 Guia Lopes da Laguna";26
"320435 Rio Bananal";26
"431480 Portão";26
"412100 Querência do Norte";26
"315080 Piranga";26
"260070 Aliança";26
"231170 Reriutaba";26
"130180 Ipixuna";26
"210390 Duque Bacelar";26
"311400 Carmo da Mata";26
"220510 Itaueira";26
"230570 Ipaumirim";26
"211153 São Pedro da Água Branca";26
"352880 Maracaí";26
"140005 Alto Alegre";26
"260310 Cachoeirinha";26
"292430 Piatã";26
"260660 Ibimirim";26
"250600 Esperança";26
"130430 Urucará";26
"270130 Cajueiro";26
"410870 Grandes Rios";26
"292480 Piritiba";25
"430650 Dom Feliciano";25
"110170 Urupá";25
"292970 Sátiro Dias";25
"120033 Mâncio Lima";25
"231380 Uruburetama";25
"412120 Quitandinha";25
"410510 Centenário do Sul";25
"312590 Ferros";25
"312450 Estiva";25
"411095 Itaipulândia";25
"521860 Rialma";25
"280440 Neópolis";25
"130370 Santo Antônio do Içá";25
"520580 Corumbá de Goiás";25
"150275 Concórdia do Pará";25
"420310 Caibi";25
"412265 Rosário do Ivaí";25
"330570 Sumidouro";25
"230480 Granjeiro";25
"110029 Santa Luzia D'Oeste";25
"520350 Bom Jesus de Goiás";25
"241140 Santana do Matos";25
"210110 Axixá";25
"210030 Aldeias Altas";25
"250190 Belém";25
"313505 Jaíba";25
"311180 Canápolis";25
"520740 Edéia";25
"231150 Quixeré";25
"170220 Araguatins";25
"261150 Quipapá";25
"412510 São João do Triunfo";25
"231025 Paraipaba";25
"231080 Pereiro";25
"270020 Anadia";25
"520810 Formoso";25
"270010 Água Branca";25
"500260 Camapuã";25
"220430 Fronteiras";25
"240560 Jardim de Piranhas";25
"310910 Bueno Brandão";25
"352500 Jandira";25
"260390 Carnaíba";25
"412580 São Pedro do Ivaí";25
"320450 Santa Leopoldina";25
"210535 Itaipava do Grajaú";25
"150797 Terra Santa";25
"293040 Serra Preta";25
"312050 Cristina";25
"220660 Monte Alegre do Piauí";25
"230195 Barreira";25
"250250 Boqueirão";25
"210450 Governador Archer";24
"260200 Bodocó";24
"240820 Nísia Floresta";24
"351190 Clementina";24
"292180 Mortugaba";24
"130006 Amaturá";24
"251540 São Vicente do Seridó";24
"291720 Ituaçu";24
"171620 Paranã";24
"231240 São Gonçalo do Amarante";24
"260080 Altinho";24
"290950 Cravolândia";24
"260060 Alagoinha";24
"240650 Lagoa Nova";24
"411450 Manoel Ribas";24
"130090 Canutama";24
"290400 Boninal";24
"421910 Vargeão";24
"270510 Matriz de Camaragibe";24
"130150 Envira";24
"241070 Riacho da Cruz";24
"520055 Alto Horizonte";24
"291845 Jucuruçu";24
"310890 Brazópolis";24
"231135 Quixelô";24
"211190 Sucupira do Norte";24
"500600 Nova Alvorada do Sul";24
"313290 Itamogi";24
"520725 Doverlândia";24
"292840 Santa Rita de Cássia";24
"521370 Montes Claros de Goiás";24
"510260 Campinápolis";24
"520830 Divinópolis de Goiás";24
"430845 Fortaleza dos Valos";24
"520380 Britânia";24
"431075 Ivorá";24
"293200 Uauá";24
"354290 Ribeirão Bonito";24
"293160 Teolândia";24
"150747 São João de Pirabas";24
"110140 Monte Negro";24
"291410 Ipupiara";24
"231360 Ubajara";24
"230763 Madalena";24
"150540 Ourém";24
"210880 Pirapemas";24
"354560 Santa Adélia";24
"290020 Abaré";24
"292890 São Desidério";24
"510820 Torixoréu";24
"410600 Congonhinhas";24
"210700 Montes Altos";24
"290610 Canápolis";24
"150175 Brejo Grande do Araguaia";24
"220550 José de Freitas";24
"292450 Pindaí";24
"140040 Normandia";24
"171575 Palmeirópolis";24
"240270 Cerro Corá";24
"520547 Chapadão do Céu";24
"261600 Venturosa";24
"261245 Santa Cruz";24
"353660 Paulo de Faria";24
"293280 Utinga";24
"150309 Goianésia do Pará";24
"291535 Itaguaçu da Bahia";24
"320260 Iconha";24
"510625 Nova Xavantina";24
"510060 Alto Taquari";24
"292610 Retirolândia";24
"211085 São Francisco do Brejão";24
"420070 Alfredo Wagner";24
"316220 São João Batista do Glória";23
"290205 Araças";23
"251660 Tavares";23
"313800 Laranjal";23
"317090 Varzelândia";23
"220230 Canto do Buriti";23
"500560 Miranda";23
"220270 Cocal";23
"314500 Nova Ponte";23
"520340 Bom Jardim de Goiás";23
"230365 Catunda";23
"230390 Chaval";23
"230680 Jaguaribara";23
"312820 Guaraciaba";23
"320316 Laranja da Terra";23
"220150 Batalha";23
"410280 Bela Vista do Paraíso";23
"412640 Sertaneja";23
"260805 Jatobá";23
"290323 Barro Alto";23
"411310 Kaloré";23
"211090 São Francisco do Maranhão";23
"210130 Bacuri";23
"354380 Rinópolis";23
"330460 Santa Maria Madalena";23
"521100 Itapirapuã";23
"411500 Marilena";23
"412795 Tupãssi";23
"420160 Arroio Trinta";23
"210640 Mata Roma";23
"150658 Santa Maria das Barreiras";23
"351780 Guaraçaí";23
"150310 Gurupá";23
"292790 Santa Inês";23
"421960 Xavantina";23
"130010 Anori";23
"430050 Alpestre";23
"170070 Alvorada";23
"291280 Ibirapuã";23
"410790 Floresta";23
"290410 Boquira";23
"421670 São José do Cedro";23
"130063 Beruri";23
"521290 Marzagão";23
"261120 Poção";23
"120034 Manoel Urbano";23
"411250 Jardim Alegre";23
"292310 Olindina";23
"430580 Constantina";23
"260590 Gameleira";23
"110050 Novo Horizonte do Oeste";23
"411680 Nova Cantu";22
"261380 São Vicente Ferrer";22
"210592 Lagoa do Mato";22
"261485 Tamandaré";22
"412535 São Jorge do Patrocínio";22
"311280 Capitólio";22
"510730 São José do Rio Claro";22
"412545 São José das Palmeiras";22
"500793 Sonora";22
"311730 Conceição das Alagoas";22
"220620 Miguel Alves";22
"251610 Soledade";22
"421110 Monte Castelo";22
"210203 Bom Jesus das Selvas";22
"520320 Barro Alto";22
"412790 Tuneiras do Oeste";22
"130068 Boa Vista do Ramos";22
"210560 Joselândia";22
"231260 São Luís do Curu";22
"311570 Central de Minas";22
"210670 Mirador";22
"251020 Nova Olinda";22
"500450 Itaporã";22
"320305 Jaguaré";22
"520551 Cocalzinho de Goiás";22
"292595 Rafael Jambeiro";22
"292770 Santa Cruz Cabrália";22
"211080 São Félix de Balsas";22
"311200 Candeias";22
"311090 Campanha";22
"260690 Iguaracy";22
"314280 Monte Alegre de Minas";22
"521980 São Domingos";22
"312400 Ervália";22
"140030 Mucajaí";22
"260650 Iati";22
"410800 Florestópolis";22
"355230 Sud Mennucci";22
"520750 Estrela do Norte";22
"241030 Serra Caiada";22
"352360 Itirapina";22
"241340 Serra Negra do Norte";22
"210680 Mirinzal";22
"291330 Ichu";22
"150555 Pau D'Arco";22
"130320 Novo Airão";22
"520465 Campinaçu";22
"410010 Abatiá";22
"110100 Governador Jorge Teixeira";22
"210930 Presidente Vargas";22
"290960 Crisópolis";22
"350110 Alto Alegre";22
"510420 Guiratinga";22
"261480 Tacaratu";21
"220500 Itainópolis";21
"241500 Vila Flor";21
"261580 Tupanatinga";21
"260460 Condado";21
"353250 Neves Paulista";21
"292020 Malhada";21
"292540 Potiraguá";21
"230610 Irauçuba";21
"522050 Serranópolis";21
"420810 Itaiópolis";21
"510860 Vila Rica";21
"150013 Abel Figueiredo";21
"292105 Matina";21
"411100 Itambaracá";21
"292130 Milagres";21
"292380 Paripiranga";21
"220910 Santa Cruz do Piauí";21
"230526 Ibaretama";21
"293305 Várzea da Roça";21
"230890 Morrinhos";21
"150805 Trairão";21
"171670 Colméia";21
"130020 Atalaia do Norte";21
"261247 Santa Cruz da Baixa Verde";21
"313700 Ladainha";21
"313750 Lagoa Formosa";21
"500510 Jateí";21
"150715 São Domingos do Araguaia";21
"411550 Marumbi";21
"280340 Japoatã";21
"421060 Massaranduba";21
"231100 Poranga";21
"260490 Cumaru";21
"210255 Campestre do Maranhão";21
"311350 Carbonita";21
"500020 Água Clara";21
"210325 Cidelândia";21
"330140 Conceição de Macabu";21
"421940 Witmarsum";21
"240250 Carnaubais";21
"330450 Rio das Flores";21
"220310 Cristino Castro";21
"420127 Arabutã";21
"220180 Bocaina";21
"312100 Datas";21
"240780 Monte Alegre";21
"510680 Porto dos Gaúchos";21
"231210 Santana do Cariri";21
"520970 Hidrolândia";21
"231370 Umari";21
"312210 Divino das Laranjeiras";21
"510670 Ponte Branca";21
"412740 Terra Roxa";21
"330022 Areal";21
"500730 Rio Negro";21
"320380 Muqui";21
"240145 Baraúna";21
"230300 Caridade";21
"421920 Vidal Ramos";21
"312470 Estrela do Indaiá";21
"240070 Alto do Rodrigues";21
"291230 Ibicuí";21
"150400 Limoeiro do Ajuru";20
"410080 Alvorada do Sul";20
"521640 Paraúna";20
"130255 Manaquiri";20
"320170 Conceição do Castelo";20
"210955 Ribamar Fiquene";20
"410060 Alto Paraná";20
"220020 Água Branca";20
"411345 Lindoeste";20
"240520 Janduís";20
"150549 Palestina do Pará";20
"291990 Macururé";20
"251110 Pedra Lavrada";20
"210740 Olho d'Água das Cunhãs";20
"210805 Paulino Neves";20
"292895 São Domingos";20
"292140 Mirangaba";20
"355470 Torrinha";20
"350130 Álvares Machado";20
"110110 Itapuã do Oeste";20
"130210 Japurá";20
"130220 Juruá";20
"150070 Anajás";20
"410610 Conselheiro Mairinck";20
"230125 Ararendá";20
"420580 Garuva";20
"130426 Uarini";20
"150145 Belterra";20
"211174 Senador Alexandre Costa";20
"314160 Mercês";20
"230150 Arneiroz";20
"260670 Ibirajuba";20
"211105 São João do Paraíso";20
"330227 Japeri";20
"211065 São Domingos do Azeitão";20
"130395 São Sebastião do Uatumã";20
"130400 Silves";20
"240340 Equador";20
"150304 Floresta do Araguaia";20
"260500 Cupira";20
"130360 Santa Isabel do Rio Negro";20
"150200 Cachoeira do Arari";20
"220960 São Félix do Piauí";20
"211027 Santo Amaro do Maranhão";20
"314190 Minduri";20
"410305 Boa Vista da Aparecida";20
"314350 Morada Nova de Minas";20
"311270 Capitão Enéas";20
"500230 Brasilândia";20
"291530 Itagimirim";20
"412290 Salto do Itararé";20
"520130 Anicuns";20
"412860 Verê";20
"353240 Nazaré Paulista";20
"230980 Pacoti";20
"230940 Novo Oriente";20
"311360 Careaçu";20
"230920 Nova Olinda";20
"351540 Fartura";20
"210250 Cajari";20
"293315 Várzea Nova";20
"510360 Dom Aquino";20
"313320 Itanhomi";20
"313180 Itabirinha";20
"411940 Piraí do Sul";20
"290040 Água Fria";20
"412033 Prado Ferreira";20
"210010 Afonso Cunha";20
"291685 Itatim";20
"231060 Penaforte";20
"316570 Senador Firmino";20
"250010 Água Branca";20
"171330 Miranorte";20
"210180 Benedito Leite";20
"130008 Anamã";20
"220490 Isaías Coelho";20
"431053 Itaara";20
"230820 Meruoca";20
"412470 São Jerônimo da Serra";20
"130165 Guajará";20
"291960 Macajuba";20
"220650 Monsenhor Hipólito";20
"210462 Governador Luiz Rocha";20
"510780 Santo Antônio do Leverger";20
"521400 Mozarlândia";20
"210630 Magalhães de Almeida";20
"150710 São Caetano de Odivelas";20
"210710 Morros";20
"293000 Sebastião Laranjeiras";20
"210580 Lago do Junco";20
"412500 São João do Ivaí";20
"270840 São José da Tapera";20
"210610 Loreto";20
"351210 Colômbia";20
"510800 Tapurah";20
"293110 Tanquinho";20
"160020 Calçoene";20
"130110 Careiro";20
"291940 Licínio de Almeida";20
"412400 Santana do Itararé";20
"522068 Simolândia";20
"411300 Jussara";19
"290035 Adustina";19
"230490 Groaíras";19
"230180 Baixio";19
"292080 Marcionílio Souza";19
"522155 Turvelândia";19
"522015 São Luíz do Norte";19
"250820 Lagoa de Dentro";19
"291670 Itaquara";19
"221170 Wall Ferraz";19
"280710 Simão Dias";19
"230060 Altaneira";19
"411270 Jataizinho";19
"251010 Nova Floresta";19
"411890 Pérola";19
"130280 Maraã";19
"260630 Granito";19
"352170 Itaberá";19
"251150 Pilar";19
"172065 Silvanópolis";19
"290475 Buritirama";19
"241060 Rafael Godeiro";19
"210240 Cajapió";19
"290430 Brejões";19
"110037 Alto Alegre dos Parecis";19
"311260 Capinópolis";19
"260350 Camocim de São Félix";19
"353200 Morungaba";19
"230945 Ocara";19
"261280 Santa Terezinha";19
"220480 Ipiranga do Piauí";19
"431643 Saldanha Marinho";19
"310840 Botelhos";19
"500348 Dois Irmãos do Buriti";19
"241280 São Rafael";19
"312120 Delfinópolis";19
"312260 Dom Joaquim";19
"312020 Cristais";19
"210940 Primeira Cruz";19
"211107 São João do Soter";19
"320360 Mucurici";19
"312595 Fervedouro";19
"231395 Varjota";19
"211227 Tufilândia";19
"311580 Centralina";19
"210465 Governador Newton Bello";19
"311460 Carrancas";19
"431535 Quinze de Novembro";19
"240770 Montanhas";19
"510517 Juruena";19
"520753 Faina";19
"311710 Conceição da Aparecida";19
"210596 Lagoa Grande do Maranhão";19
"521590 Palminópolis";19
"521565 Palestina de Goiás";19
"410045 Altamira do Paraná";19
"150340 Inhangapi";19
"150630 Salvaterra";19
"521410 Mutunópolis";19
"110070 Campo Novo de Rondônia";19
"420790 Irineópolis";19
"420660 Guarujá do Sul";19
"292290 Nova Soure";19
"410710 Diamante do Norte";19
"315550 Rio Paranaíba";19
"521973 Santo Antônio de Goiás";19
"260800 Jataúba";19
"250990 Natuba";19
"410700 Curiúva";19
"220870 Redenção do Gurguéia";19
"521385 Morro Agudo de Goiás";19
"150780 Senador José Porfírio";19
"354190 Queluz";19
"250240 Bonito de Santa Fé";19
"293180 Tremedal";19
"354500 Salesópolis";19
"510125 Araputanga";19
"150750 São João do Araguaia";19
"291130 Gentio do Ouro";18
"520150 Aporé";18
"314510 Nova Resende";18
"314050 Martinho Campos";18
"230565 Ipaporanga";18
"314150 Mendes Pimentel";18
"314300 Monte Belo";18
"510720 Rio Branco";18
"240330 Encanto";18
"250620 Frei Martinho";18
"293075 Sítio do Mato";18
"314650 Pains";18
"230310 Cariré";18
"292910 São Felipe";18
"231120 Potengi";18
"241100 Rodolfo Fernandes";18
"313150 Ipuiúna";18
"250710 Itapororoca";18
"293150 Teofilândia";18
"240530 Januário Cicco";18
"230360 Catarina";18
"250290 Brejo dos Santos";18
"510677 Porto Alegre do Norte";18
"250770 Juazeirinho";18
"280067 Boquim";18
"210470 Graça Aranha";18
"411050 Ipiranga";18
"210637 Maranhãozinho";18
"520840 Goianápolis";18
"520425 Cachoeira Dourada";18
"315190 Pocrane";18
"280560 Porto da Folha";18
"354040 Populina";18
"354000 Pompéia";18
"412540 São José da Boa Vista";18
"210408 Fernando Falcão";18
"160070 Tartarugalzinho";18
"150307 Garrafão do Norte";18
"520520 Caturaí";18
"211157 São Pedro dos Crentes";18
"270680 Piaçabuçu";18
"520480 Campo Alegre de Goiás";18
"315520 Rio Espera";18
"220110 Avelino Lopes";18
"260430 Cedro";18
"315310 Presidente Bernardes";18
"521405 Mundo Novo";18
"260825 Jucati";18
"150440 Marapanim";18
"315340 Presidente Olegário";18
"130230 Jutaí";18
"280540 Poço Redondo";18
"353290 Nova Europa";18
"411240 Japurá";18
"316420 São Romão";18
"352810 Macaubal";18
"315930 Santa Rita de Jacutinga";18
"411620 Morretes";18
"500770 Sete Quedas";18
"261570 Triunfo";18
"420370 Canelinha";18
"210177 Bela Vista do Maranhão";18
"521080 Itajá";18
"210190 Bequimão";18
"353760 Peruíbe";18
"411140 Ivaí";18
"521140 Itauçu";18
"351990 Iepê";18
"411170 Jaboti";18
"220760 Parnaguá";17
"411845 Pato Bragado";17
"291875 Lagoa Real";17
"220850 Porto";17
"292575 Presidente Tancredo Neves";17
"292560 Presidente Dutra";17
"230620 Itaiçaba";17
"292470 Piripá";17
"251450 São José de Piranhas";17
"521960 Santa Tereza de Goiás";17
"500625 Novo Horizonte do Sul";17
"521925 Santa Fé de Goiás";17
"220540 Joaquim Pires";17
"411130 Itaúna do Sul";17
"521900 Sanclerlândia";17
"292335 Ourolândia";17
"292590 Quijingue";17
"310130 Alagoa";17
"352420 Jaborandi";17
"250090 Arara";17
"260340 Calumbi";17
"261255 Santa Filomena";17
"421935 Vitor Meireles";17
"210087 Araguanã";17
"521130 Itarumã";17
"241400 Tangará";17
"510385 Gaúcha do Norte";17
"521210 Joviânia";17
"260330 Calçado";17
"290580 Camamu";17
"310210 Alto Rio Doce";17
"241335 Serra do Mel";17
"260270 Buenos Aires";17
"210975 Santa Filomena do Maranhão";17
"430570 Condor";17
"240500 Jaçanã";17
"260870 Lagoa dos Gatos";17
"521805 Porteirão";17
"521810 Portelândia";17
"520500 Carmo do Rio Verde";17
"292670 Rio de Contas";17
"210420 Fortuna";17
"311615 Chapada Gaúcha";17
"351510 Embu-Guaçu";17
"170190 Araguacema";17
"210650 Matinha";17
"210760 Palmeirândia";17
"210547 Jenipapo dos Vieiras";17
"260980 Orocó";17
"520085 Americano do Brasil";17
"520060 Alto Paraíso de Goiás";17
"412700 Teixeira Soares";17
"520235 Arenópolis";17
"412490 São João do Caiuá";17
"522150 Turvânia";17
"315590 Rio Preto";17
"260545 Fernando de Noronha";17
"230445 Fortim";17
"314750 Passabém";17
"220890 Ribeiro Gonçalves";17
"230185 Banabuiú";17
"520160 Araçu";17
"314910 Pedralva";17
"500710 Ribas do Rio Pardo";16
"211200 Tasso Fragoso";16
"230450 Frecheirinha";16
"412460 São Carlos do Ivaí";16
"270660 Paulo Jacinto";16
"520470 Campinorte";16
"150250 Chaves";16
"211023 Santana do Maranhão";16
"240360 Extremoz";16
"291430 Iramaia";16
"520570 Córrego do Ouro";16
"211195 Sucupira do Riachão";16
"260830 Jupi";16
"241360 Severiano Melo";16
"312690 Frei Inocêncio";16
"410620 Contenda";16
"250500 Cubati";16
"220202 Buriti dos Montes";16
"521950 Santa Rosa de Goiás";16
"431430 Pejuçara";16
"410890 Guairaçá";16
"290870 Condeúba";16
"140023 Caroebe";16
"320050 Apiacá";16
"320160 Conceição da Barra";16
"521920 Santa Cruz de Goiás";16
"500690 Porto Murtinho";16
"231390 Uruoca";16
"231325 Tarrafas";16
"410560 Cidade Gaúcha";16
"312860 Guarda-Mor";16
"231335 Tejuçuoca";16
"520760 Fazenda Nova";16
"412667 Tamarana";16
"230330 Cariús";16
"521160 Ivolândia";16
"230080 Antonina do Norte";16
"230340 Carnaubal";16
"412650 Sertanópolis";16
"421270 Petrolândia";16
"261190 Rio Formoso";16
"210080 Anapurus";16
"241230 São José do Campestre";16
"110007 Corumbiara";16
"260240 Brejão";16
"412760 Tijucas do Sul";16
"521270 Mambaí";16
"510455 Itaúba";16
"421710 São Martinho";16
"261440 Solidão";16
"522205 Vicentinópolis";16
"110040 Alto Paraíso";16
"421105 Monte Carlo";16
"350840 Cabreúva";16
"240760 Messias Targino";16
"521440 Nazário";16
"510268 Campos de Júlio";16
"315290 Pratápolis";16
"354790 Santo Antônio da Alegria";16
"210545 Jatobá";16
"290420 Botuporã";16
"520990 Iaciara";16
"250230 Bom Sucesso";16
"520993 Inaciolândia";16
"230393 Choró";16
"521350 Monte Alegre de Goiás";16
"290405 Bonito";16
"110120 Ministro Andreazza";16
"411040 Indianópolis";16
"120042 Rodrigues Alves";16
"411700 Nova Fátima";16
"231010 Palmácia";16
"411380 Lupionópolis";16
"411110 Itambé";16
"412130 Rancho Alegre";16
"110180 Vale do Paraíso";16
"220750 Palmeirais";16
"220937 Santa Rosa do Piauí";16
"291660 Itapitanga";16
"120043 Santa Rosa do Purus";16
"411720 Nova Olímpia";16
"510310 Cocalinho";16
"290110 Amélia Rodrigues";16
"230535 Icapuí";16
"220860 Prata do Piauí";16
"220810 Pimenteiras";16
"120001 Acrelândia";16
"510610 Nossa Senhora do Livramento";16
"150520 Oeiras do Pará";15
"150497 Nova Ipixuna";15
"314450 Nazareno";15
"210730 Nova Iorque";15
"260910 Machados";15
"520680 Damolândia";15
"210927 Presidente Sarney";15
"240490 Itaú";15
"210920 Presidente Juscelino";15
"240370 Felipe Guerra";15
"240160 Bento Fernandes";15
"220010 Agricolândia";15
"412310 Santa Amélia";15
"290770 Chorrochó";15
"522145 Trombas";15
"320400 Pancas";15
"510627 Novo Horizonte do Norte";15
"510719 Ribeirãozinho";15
"220610 Matias Olímpio";15
"510794 Tabaporã";15
"130195 Itamarati";15
"150450 Melgaço";15
"291500 Itaeté";15
"520505 Castelândia";15
"110143 Nova União";15
"520545 Cezarina";15
"150640 Santa Cruz do Arari";15
"260130 Barra de Guabiraba";15
"170900 Goiatins";15
"270280 Flexeiras";15
"352100 Iperó";15
"353580 Paranapanema";15
"170710 Divinópolis do Tocantins";15
"210083 Apicum-Açu";15
"520250 Aruanã";15
"241420 Tibau do Sul";15
"421540 Salto Veloso";15
"241490 Viçosa";15
"261610 Verdejante";15
"411970 Planaltina do Paraná";15
"510390 General Carneiro";15
"110080 Candeias do Jamari";15
"230700 Jaguaruana";15
"150803 Tracuateua";15
"251430 São José de Caiana";15
"160015 Pedra Branca do Amapari";15
"240730 Marcelino Vieira";15
"210720 Nina Rodrigues";15
"350490 Bananal";15
"311820 Conquista";15
"351310 Cravinhos";15
"210197 Boa Vista do Gurupi";15
"210193 Bernardo do Mearim";15
"290450 Brotas de Macaúbas";15
"210310 Cedral";15
"210355 Conceição do Lago-Açu";15
"411830 Paranapoema";15
"210312 Central do Maranhão";15
"500635 Paranhos";15
"140020 Caracaraí";15
"290050 Érico Cardoso";15
"316850 Teixeiras";15
"150110 Bagre";15
"140045 Pacaraima";15
"292060 Maragogipe";15
"290860 Conde";15
"410715 Diamante D'Oeste";15
"292330 Ouriçangas";15
"521910 Santa Bárbara de Goiás";15
"260740 Itacuruba";15
"316960 Tupaciguara";15
"220160 Beneditinos";15
"140050 São João da Baliza";15
"315710 Salto da Divisa";15
"160040 Mazagão";14
"521295 Matrinchã";14
"210375 Davinópolis";14
"420250 Bom Jardim da Serra";14
"231195 Salitre";14
"170100 Ananás";14
"291010 Dom Basílio";14
"210725 Nova Colinas";14
"520050 Aloândia";14
"313690 Juruaia";14
"290360 Biritinga";14
"313665 Juatuba";14
"355360 Tapiratiba";14
"350260 Aparecida d'Oeste";14
"520710 Diorama";14
"311630 Cipotânea";14
"230400 Coreaú";14
"240840 Olho-d'Água do Borges";14
"261010 Palmeirina";14
"150775 Sapucaia";14
"510810 Tesouro";14
"291930 Lençóis";14
"290380 Boa Vista do Tupim";14
"291830 Jitaúna";14
"241290 São Tomé";14
"316690 Serrania";14
"241300 São Vicente";14
"140015 Bonfim";14
"120039 Porto Walter";14
"260760 Ilha de Itamaracá";14
"220420 Francisco Santos";14
"231085 Pindoretama";14
"241105 Tibau";14
"410950 Guaraqueçaba";14
"310430 Areado";14
"261650 Xexéu";14
"270100 Boca da Mata";14
"291733 Iuiú";14
"241380 Taboleiro Grande";14
"290480 Caatiba";14
"221140 Várzea Grande";14
"230290 Capistrano";14
"291250 Ibipitanga";14
"510615 Nova Bandeirantes";14
"270420 Limoeiro de Anadia";14
"316890 Tiros";14
"261240 Sanharó";14
"311130 Campo do Meio";14
"250780 Junco do Seridó";14
"352350 Itatinga";14
"270310 Igaci";14
"220400 Francinópolis";14
"315030 Piedade do Rio Grande";14
"520393 Buriti de Goiás";14
"170730 Dueré";14
"220030 Alto Longá";14
"280610 Rosário do Catete";14
"260780 Itaquitinga";14
"240180 Brejinho";14
"240120 Arês";14
"260820 Joaquim Nabuco";14
"420190 Aurora";14
