"Município";"Quantidade existente"
"411760 Palmas";91
"430463 Capão da Canoa";91
"421900 Urussanga";90
"292900 São Félix";90
"353110 Mongaguá";90
"270730 Porto Calvo";90
"510562 Mirassol d'Oeste";90
"290390 Bom Jesus da Lapa";90
"410210 Astorga";90
"430060 Alvorada";90
"330360 Paracambi";90
"317200 Visconde do Rio Branco";90
"130290 Maués";90
"261360 São José do Egito";90
"292860 Santo Amaro";89
"130380 São Gabriel da Cachoeira";89
"352970 Miguelópolis";89
"431350 Osório";89
"291640 Itapetinga";89
"220780 Paulistana";89
"230170 Aurora";89
"291950 Livramento de Nossa Senhora";89
"150530 Oriximiná";89
"320420 Piúma";88
"312800 Guanhães";88
"410930 Guaraniaçu";88
"292360 Paramirim";88
"230830 Milagres";87
"292120 Miguel Calmon";87
"351450 Duartina";87
"260510 Custódia";87
"291005 Dias d'Ávila";87
"520880 Goianira";86
"251130 Piancó";86
"320090 Barra de São Francisco";86
"293070 Simões Filho";86
"210360 Coroatá";86
"520640 Crixás";86
"150090 Augusto Corrêa";86
"430100 Arroio do Meio";86
"150345 Ipixuna do Pará";85
"291690 Itiruçu";85
"313270 Itambacuri";85
"430890 Getúlio Vargas";85
"410630 Corbélia";85
"421500 Rio Negrinho";85
"355070 São Sebastião";85
"290980 Cruz das Almas";85
"290560 Camacan";85
"431780 Santo Augusto";85
"421250 Penha";85
"210060 Amarante do Maranhão";85
"355670 Vinhedo";85
"432145 Teutônia";84
"290280 Barra da Estiva";84
"291350 Iguaí";84
"210232 Buriticupu";84
"290600 Campo Formoso";84
"313440 Iturama";84
"312980 Ibirité";84
"291560 Itamaraju";84
"210330 Codó";84
"260520 Escada";83
"310150 Além Paraíba";83
"320280 Itapemirim";83
"290490 Cachoeira";83
"521800 Porangatu";83
"230020 Acaraú";83
"290270 Barra";83
"330110 Cantagalo";83
"410200 Assis Chateaubriand";82
"430390 Campo Bom";82
"291120 Gandu";82
"292100 Mata de São João";82
"313960 Mantena";82
"510510 Juara";82
"431760 Santo Antônio da Patrulha";82
"170255 Augustinópolis";82
"150815 Uruará";81
"431270 Nonoai";81
"432010 Sarandi";81
"421050 Maravilha";81
"150293 Dom Eliseu";81
"270770 Rio Largo";81
"313580 Jequitinhonha";81
"353030 Mirassol";81
"312710 Frutal";80
"353140 Monte Aprazível";80
"354425 Rosana";80
"354660 Santa Fé do Sul";80
"420230 Biguaçu";80
"521890 Rubiataba";80
"330025 Arraial do Cabo";79
"430280 Caçapava do Sul";79
"411200 Jaguariaíva";79
"353780 Piedade";79
"430480 Carlos Barbosa";79
"310340 Araçuaí";79
"210900 Porto Franco";79
"431060 Itaqui";79
"353390 Olímpia";79
"354130 Presidente Epitácio";78
"160027 Laranjal do Jari";78
"251530 Sapé";78
"521040 Itaberaí";78
"291320 Ibotirama";78
"290590 Campo Alegre de Lourdes";77
"310170 Almenara";77
"250970 Monteiro";77
"220595 Marcolândia";77
"270140 Campo Alegre";77
"317080 Várzea da Palma";77
