Data;Região;Setor;Variação
01/06/2019;Município de São Paulo;Agricultura, pecuária e pesca;3259,03068
01/09/2019;Município de São Paulo;Agricultura, pecuária e pesca;2250,503952
01/12/2019;Município de São Paulo;Agricultura, pecuária e pesca;-4820,424149
01/03/2020;Município de São Paulo;Agricultura, pecuária e pesca;4978,487478
01/06/2020;Município de São Paulo;Agricultura, pecuária e pesca;-2348,546529
01/09/2020;Município de São Paulo;Agricultura, pecuária e pesca;-7126,912006
01/12/2020;Município de São Paulo;Agricultura, pecuária e pesca;9211,088113
01/03/2021;Município de São Paulo;Agricultura, pecuária e pesca;-10518,76386
01/06/2021;Município de São Paulo;Agricultura, pecuária e pesca;-536,3755046
01/06/2017;Município de São Paulo;Indústria;1090,522044
01/09/2017;Município de São Paulo;Indústria;-7906,667115
01/12/2017;Município de São Paulo;Indústria;16910,45072
01/03/2018;Município de São Paulo;Indústria;-54796,93967
01/06/2018;Município de São Paulo;Indústria;35612,71071
01/09/2018;Município de São Paulo;Indústria;-36888,69685
01/12/2018;Município de São Paulo;Indústria;10842,01736
01/03/2019;Município de São Paulo;Indústria;12124,69319
01/06/2019;Município de São Paulo;Indústria;-16814,91649
01/09/2019;Município de São Paulo;Indústria;15742,29117
01/12/2019;Município de São Paulo;Indústria;27796,49527
01/03/2020;Município de São Paulo;Indústria;-74001,07561
01/06/2020;Município de São Paulo;Indústria;-97672,05909
01/09/2020;Município de São Paulo;Indústria;26815,85446
01/12/2020;Município de São Paulo;Indústria;-58760,06913
01/03/2021;Município de São Paulo;Indústria;42221,45907
01/06/2021;Município de São Paulo;Indústria;89248,64625
01/06/2017;Município de São Paulo;Construção;18694,94753
01/09/2017;Município de São Paulo;Construção;-5426,074293
01/12/2017;Município de São Paulo;Construção;-10686,95181
01/03/2018;Município de São Paulo;Construção;-6866,313767
01/06/2018;Município de São Paulo;Construção;10164,27234
01/09/2018;Município de São Paulo;Construção;-5770,764866
01/12/2018;Município de São Paulo;Construção;-14502,62287
01/03/2019;Município de São Paulo;Construção;8508,114329
01/06/2019;Município de São Paulo;Construção;-3696,118633
01/09/2019;Município de São Paulo;Construção;23789,28883
01/12/2019;Município de São Paulo;Construção;-32741,01922
01/03/2020;Município de São Paulo;Construção;-2936,816804
01/06/2020;Município de São Paulo;Construção;-55620,00463
01/09/2020;Município de São Paulo;Construção;42643,57644
01/12/2020;Município de São Paulo;Construção;-4294,510178
01/03/2021;Município de São Paulo;Construção;11740,22801
01/06/2021;Município de São Paulo;Construção;-34661,50817
01/06/2017;Município de São Paulo;Comércio;52584,83296
01/09/2017;Município de São Paulo;Comércio;-8265,371746
01/12/2017;Município de São Paulo;Comércio;-50844,19581
01/03/2018;Município de São Paulo;Comércio;9746,985196
01/06/2018;Município de São Paulo;Comércio;15937,04087
01/09/2018;Município de São Paulo;Comércio;-17543,795
01/12/2018;Município de São Paulo;Comércio;16874,46951
01/03/2019;Município de São Paulo;Comércio;-771,5022912
01/06/2019;Município de São Paulo;Comércio;1817,838683
01/09/2019;Município de São Paulo;Comércio;-8678,992923
01/12/2019;Município de São Paulo;Comércio;-38947,71868
01/03/2020;Município de São Paulo;Comércio;51414,85936
01/06/2020;Município de São Paulo;Comércio;-150128,6543
01/09/2020;Município de São Paulo;Comércio;71276,4368
01/12/2020;Município de São Paulo;Comércio;-32698,04564
01/03/2021;Município de São Paulo;Comércio;-1119,028975
01/06/2021;Município de São Paulo;Comércio;5607,826086
01/06/2017;Município de São Paulo;Serviços;47660,04686
01/09/2017;Município de São Paulo;Serviços;43767,81195
01/12/2017;Município de São Paulo;Serviços;-37423,01937
01/03/2018;Município de São Paulo;Serviços;1313,102618
01/06/2018;Município de São Paulo;Serviços;-102815,0023
01/09/2018;Município de São Paulo;Serviços;152341,7265
01/12/2018;Município de São Paulo;Serviços;17577,12837
01/03/2019;Município de São Paulo;Serviços;-32189,27542
01/06/2019;Município de São Paulo;Serviços;83693,84296
01/09/2019;Município de São Paulo;Serviços;99504,68918
01/12/2019;Município de São Paulo;Serviços;42479,72645
01/03/2020;Município de São Paulo;Serviços;-51059,0284
01/06/2020;Município de São Paulo;Serviços;-375848,5372
01/09/2020;Município de São Paulo;Serviços;-147801,096
01/12/2020;Município de São Paulo;Serviços;131500,1927
01/03/2021;Município de São Paulo;Serviços;109418,7875
01/06/2021;Município de São Paulo;Serviços;160553,1037
01/06/2017;Brasil;Agricultura, pecuária e pesca;-32375,20867
01/09/2017;Brasil;Agricultura, pecuária e pesca;-28212,72291
01/12/2017;Brasil;Agricultura, pecuária e pesca;-154612,0618
01/03/2018;Brasil;Agricultura, pecuária e pesca;24484,70614
01/06/2018;Brasil;Agricultura, pecuária e pesca;6751,392702
01/09/2018;Brasil;Agricultura, pecuária e pesca;262774,1516
01/12/2018;Brasil;Agricultura, pecuária e pesca;-295450,7756
01/03/2019;Brasil;Agricultura, pecuária e pesca;32528,47228
01/06/2019;Brasil;Agricultura, pecuária e pesca;233156,7379
01/09/2019;Brasil;Agricultura, pecuária e pesca;-144114,3227
01/12/2019;Brasil;Agricultura, pecuária e pesca;-177815,5466
01/03/2020;Brasil;Agricultura, pecuária e pesca;-67547,85907
01/06/2020;Brasil;Agricultura, pecuária e pesca;-290022,6932
01/09/2020;Brasil;Agricultura, pecuária e pesca;304147,652
01/12/2020;Brasil;Agricultura, pecuária e pesca;279835,1021
01/03/2021;Brasil;Agricultura, pecuária e pesca;35202,1263
